PSR1,EFC15951,scenario1,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR2,EFC15951,scenario2,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR3,EFC15951,scenario3,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR4,EFC15951,scenario4,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR5,EFC15951,scenario5,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR6,EFC15951,scenario6,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR7,EFC15951,scenario7,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR8,EFC15951,scenario8,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR9,EFC15951,scenario9,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR10,EFC15951,scenario10,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR11,EFC15951,scenario11,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR12,EFC15951,scenario12,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR13,EFC15951,scenario13,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR14,EFC15951,scenario14,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR15,EFC15951,scenario15,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR16,EFC15951,scenario16,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR17,EFC15951,scenario17,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR18,EFC15951,scenario18,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR19,EFC15951,scenario19,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
PSR20,EFC15951,scenario20,2017-03-04,2023-03-17,NEW SCENARIO FOR THE PERF. TESTING,20,3000,1000,ap32877,Oncology,NCT01369108,ctfo_trial_11084
